Land,Ländercode,Jahr,Aerzte_pro_1000,Gesundheitsausgaben_BIP,Kindersterblichkeit,Krankenhausbetten_pro_1000,Lebenserwartung,Letzte_Aktualisierung
Dominica,DMA,2024,,,33.3,,71.294,24.04.2026 22:33
Dominican Republic,DOM,2023,2.426,,,0.75,,24.04.2026 22:33
Dominican Republic,DOM,2024,,,27.7,,73.868,24.04.2026 22:33
East Asia & Pacific (IDA & IBRD countries),TEA,2023,,,,4.73070700615744,,24.04.2026 22:33
East Asia & Pacific (IDA & IBRD countries),TEA,2024,,,11.3017036600591,,75.9869566179365,24.04.2026 22:33
East Asia & Pacific (excluding high income),EAP,2023,,,,4.73070700615744,,24.04.2026 22:33
East Asia & Pacific (excluding high income),EAP,2024,,,11.3362845942632,,75.9593161676786,24.04.2026 22:33
Ecuador,ECU,2023,,,,1.32,,24.04.2026 22:33
Ecuador,ECU,2024,,,10.9,,77.579,24.04.2026 22:33
"Egypt, Arab Rep.",EGY,2024,,,20.8,,71.806,24.04.2026 22:33
El Salvador,SLV,2023,1.616,,,1.21,,24.04.2026 22:33
El Salvador,SLV,2024,,,8.8,,72.302,24.04.2026 22:33
Equatorial Guinea,GNQ,2024,,,47.6,,63.906,24.04.2026 22:33
Eritrea,ERI,2023,,,,1.02,,24.04.2026 22:33
Eritrea,ERI,2024,,,24.7,,68.893,24.04.2026 22:33
Estonia,EST,2023,,,,4.13,,24.04.2026 22:33
Estonia,EST,2024,,7.83648062,1.5,,79.2951219512195,24.04.2026 22:33
Eswatini,SWZ,2023,0.557,,,,,24.04.2026 22:33
Eswatini,SWZ,2024,,,42.2,,64.264,24.04.2026 22:33
Ethiopia,ETH,2023,0.143,,,,,24.04.2026 22:33
Ethiopia,ETH,2024,,,34.5,,67.603,24.04.2026 22:33
Euro area,EMU,2024,,10.7750014368516,3.02199084383663,,82.365841857498,24.04.2026 22:33
Europe & Central Asia (IDA & IBRD countries),TEC,2023,,,,5.37330378592921,,24.04.2026 22:33
Europe & Central Asia (IDA & IBRD countries),TEC,2024,,,9.05954315660152,,74.9659819707702,24.04.2026 22:33
Europe & Central Asia (excluding high income),ECA,2023,,,,4.02111025360529,,24.04.2026 22:33
Europe & Central Asia (excluding high income),ECA,2024,,,11.534558084555,,75.142498028192,24.04.2026 22:33
Faroe Islands,FRO,2024,,,,,83.0832463414634,24.04.2026 22:33
Fiji,FJI,2024,,,23.5,,67.463,24.04.2026 22:33
Finland,FIN,2024,,,1.9,,82.3365853658537,24.04.2026 22:33
France,FRA,2024,,11.53530598,3.4,,82.9804878048781,24.04.2026 22:33
French Polynesia,PYF,2024,,,,,84.192,24.04.2026 22:33
Gabon,GAB,2024,,,25.9,,68.511,24.04.2026 22:33
"Gambia, The",GMB,2023,0.09,,,1.11,,24.04.2026 22:33
"Gambia, The",GMB,2024,,,32.7,,66.057,24.04.2026 22:33
Georgia,GEO,2023,5.642,,,4.04,,24.04.2026 22:33
Georgia,GEO,2024,,,7.5,,74.657,24.04.2026 22:33
Germany,DEU,2023,,,,7.55,,24.04.2026 22:33
Germany,DEU,2024,,12.26655293,3.1,,80.7926829268293,24.04.2026 22:33
Ghana,GHA,2023,0.266,,,,,24.04.2026 22:33
Ghana,GHA,2024,,,27.5,,65.695,24.04.2026 22:33
Gibraltar,GIB,2024,,,,,83.63,24.04.2026 22:33
Greece,GRC,2024,,,3.2,,81.8390243902439,24.04.2026 22:33
Greenland,GRL,2024,,,,,70.2734146341463,24.04.2026 22:33
Grenada,GRD,2023,,,,3.01,,24.04.2026 22:33
Grenada,GRD,2024,,,16.4,,75.367,24.04.2026 22:33
Guam,GUM,2024,,,,,77.422,24.04.2026 22:33
Guatemala,GTM,2023,,,,0.45,,24.04.2026 22:33
Guatemala,GTM,2024,,,17.2,,72.746,24.04.2026 22:33
Guinea,GIN,2024,,,59.8,,60.904,24.04.2026 22:33
Guinea-Bissau,GNB,2024,,,42.1,,64.254,24.04.2026 22:33
Guyana,GUY,2023,,,,3.24,,24.04.2026 22:33
Guyana,GUY,2024,,,23.2,,70.319,24.04.2026 22:33
Haiti,HTI,2023,,,,4.9,,24.04.2026 22:33
Haiti,HTI,2024,,,39.0,,65.119,24.04.2026 22:33
